dataset,n_matched_ef,a_intercept_ns,b_slope,r2
cohere,13,665792.0734755024,1.0794752426412255,0.9995944943785467
deep-image-96-angular,8,-1588.7612302524503,1.02635614312979,0.9945850928678587
glove-100-angular,21,-13547.639130830765,1.0100890076767566,0.9999779165969023
msmarco,10,-176938.1139998734,1.133534998234818,0.9989055452345486
word2vec-300-angular,10,-1889.4753057532944,1.0046927031236035,0.9999989359699617
POOLED,62,-227258.82271227986,1.1110990044948736,0.9992196065870549
