dataset,ada_recall,ada_latency_ns_raw,ada_latency_ns_adjusted_to_shiro_hw,shiro_recall,shiro_latency_ns_raw,affine_a,affine_b,affine_r2,confidence
deep-image-96-angular,0.962871,957645.0,981296.0674572753,0.985723,1622980.0,-1588.7612302524503,1.02635614312979,0.9945850928678587,dataset-specific
glove-100-angular,0.97619,5558130.0,5600658.37710758,0.977571,5867050.0,-13547.639130830765,1.0100890076767566,0.9999779165969023,dataset-specific
word2vec-300-angular,0.96292,1490050.0,1495152.886983572,0.97659,2145420.0,-1889.4753057532944,1.0046927031236035,0.9999989359699617,dataset-specific
msmarco,0.970356,18789000.0,21121050.967834122,0.975355,21082100.0,-176938.1139998734,1.133534998234818,0.9989055452345486,dataset-specific
cohere,0.951457,13476700.0,15213556.075978506,0.969616,26989700.0,665792.0734755024,1.0794752426412255,0.9995944943785467,dataset-specific
