metric,baseline,shiro_ef,pct_change
n_queries,1000,1000,
recall_mean,0.9861599999999999,0.98491,-0.1268
recall_variance,0.0006568544000000001,0.0002915919000000003,-55.6078
recall_std,0.025629170880073358,0.017076062192437704,-33.3726
recall_min,0.75,0.87,
recall_max,1.0,1.0,
